Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Hoxb3,21.083159287651394,4.895248364062479,0.8812082632651643,5.555154857404521,2.7736575229017184e-08,4.1826499710511394e-07,Hoxb3,7.556947164422128,DEG
Ccdc80,25.979258940425773,4.884380395142506,1.9492754680344688,2.5057414794572974,0.012219492637339274,0.060630987800970614,Ccdc80,1.912946825957479,DEG
Hoxd8,25.547860802980374,4.843632034913696,0.755097360322863,6.414579482628128,1.41212101926282e-10,2.964170394070774e-09,Hoxd8,9.850128082501026,DEG
5730596B20Rik,36.70627001298673,4.842048161644121,0.7447162717681268,6.501869698842476,7.9327800280288e-11,1.7165678855579629e-09,5730596B20Rik,10.100574588312812,DEG
Efna1,266.00530090582635,4.814926688402424,0.2547436270432476,18.901068279070227,1.1176649818874108e-79,1.0445643698577747e-76,Efna1,78.95168835595015,DEG
Hoxd3os1,16.92258558605807,4.806511263346978,1.1363937320062998,4.229617893844853,2.340885777510946e-05,0.0002207225304459216,Hoxd3os1,4.630619776994081,DEG
Itpa-ps1,56.76715000218074,4.778189565380645,0.6686601181116619,7.145916790842187,8.939720313433102e-13,2.459080879209457e-11,Itpa-ps1,12.048676068254723,DEG
Hoxc6,82.3365902707416,4.734292447796298,0.7506831274351029,6.306645606878357,2.8514771984933036e-10,5.7251848506543646e-09,Hoxc6,9.544930096850445,DEG
Trim9,64.77311224745624,4.708102724410877,0.5510373727138674,8.544071523177095,1.2957377768809305e-17,5.65757452234785e-16,Trim9,16.887482879311275,DEG
Sting1,18.694069587403835,4.701305663906835,0.7888619212974758,5.959605270557858,2.528479379989647e-09,4.4546858663704494e-08,Sting1,8.597140583733326,DEG
Hoxa7,106.33835528428673,4.681774995698277,0.5456742071718905,8.579798960927414,9.503909853853973e-18,4.2010920438438057e-16,Hoxa7,17.02209769169784,DEG
Gm16096,20.908992011282532,4.657501296388786,0.44531031485347244,10.459001601885907,1.332523131064865e-25,1.1420421498622084e-23,Gm16096,24.875325243384587,DEG
Nfe2l3,67.30334062634516,4.618306336926833,0.27216095881744345,16.969025818374778,1.392224895215411e-64,8.407539047983157e-62,Nfe2l3,63.85629060462349,DEG
Cxcr4,190.94718344502255,4.560933002557913,0.39197325444247,11.63582706438794,2.7095095410995596e-31,3.397967348778946e-29,Cxcr4,30.567109315351132,DEG
Gprc5a,69.11820668734238,4.541698941308078,0.5119618354099253,8.871167003437984,7.238330681019007e-19,3.582928048197214e-17,Gprc5a,18.14036158015828,DEG
Trpm1,29.41229456861091,4.524607141706821,0.48515553040370674,9.32609618598352,1.0984220752766092e-20,6.271784865640649e-19,Trpm1,19.95923074755346,DEG
Acta2,113.9209700650227,4.477341896156603,0.6255872891945946,7.157021847296333,8.244856183153002e-13,2.2855603090205142e-11,Acta2,12.08381691544794,DEG
Epha5,99.68538432138833,4.469000174940096,0.39589530712491433,11.288338342262847,1.4984264910241714e-29,1.7350364322174575e-27,Epha5,28.82436455757361,DEG
Hoxa1,903.4069095059405,4.447541206399698,0.4000782451839947,11.116678449622496,1.0407488028080852e-28,1.1443280884208898e-26,Hoxa1,27.98265408001759,DEG
Ica1l,14.356412121952033,4.4397883452024205,0.6126631467511635,7.246703786160105,4.270364772503561e-13,1.2155520552217714e-11,Ica1l,12.369535026164852,DEG
Tbx6,294.54140481010563,4.414843892426441,0.5695444486513809,7.7515352890899205,9.078810717531088e-15,3.093494419229582e-13,Tbx6,14.041971038333726,DEG
Gata2,18.743885623866976,4.410849181165668,0.816190563561505,5.404190366914581,6.510177525680034e-08,9.312827930594693e-07,Gata2,7.186407168517518,DEG
Robo2,66.5514807186643,4.390243831071822,0.8865486886129894,4.952061728206246,7.343130165512665e-07,8.882585158301038e-06,Robo2,6.134118773349743,DEG
Hoxaas2,51.39815199929819,4.368370507376858,0.8843465163085897,4.939659315458343,7.825918120549745e-07,9.414366043087317e-06,Hoxaas2,6.106464700260978,DEG
Edar,11.201039689026054,4.367003652123694,0.7048861471291641,6.195331926878512,5.816232758647468e-10,1.1257622508638515e-08,Edar,9.235358221857837,DEG
Calb2,39.58069315107167,4.3614313694933795,0.45559291052301076,9.573088756992622,1.0375856403110684e-21,6.516535862260859e-20,Calb2,20.98397604731027,DEG
Ahsg,13.112617544557507,4.348287188233269,0.6686316984605093,6.503262107143559,7.859667394101928e-11,1.7026243058536588e-09,Ahsg,10.104595832072874,DEG
Gm5171,60.27775710624422,4.348101046793003,0.675338509495725,6.4384023503112955,1.2073759714804045e-10,2.5548856608366747e-09,Gm5171,9.918157471481807,DEG
Hoxa10,14.445637588905726,4.290575223416775,1.6084190335596429,2.6675730228839485,0.0076401284365802385,0.04026016398457297,Hoxa10,2.116899340530433,DEG
Neurog2,11.00288985051839,4.269608328649891,2.069576938238172,2.063034357294589,0.03910936401703453,0.16264009595938725,Neurog2,1.4077192463372645,DEG
Lmo2,223.5600613399866,4.2570490847120155,0.27143274888251856,15.68362366824996,1.9576035887880574e-55,7.921836460896662e-53,Lmo2,54.708275247482675,DEG
Gm27477,20.78170063248419,4.235801062874042,0.7696662045291389,5.503426079965913,3.724807456940107e-08,5.511114478223521e-07,Gm27477,7.428896171922308,DEG
Tns4,25.31038228336683,4.165147774851599,0.8423716283277394,4.944548979077291,7.632035205947521e-07,9.1923988321282e-06,Tns4,6.117359634934796,DEG
Dmrt2,201.33680825484646,4.1318854941715015,0.6175183064339715,6.691114176083628,2.214777699353691e-11,5.135066097621408e-10,Dmrt2,10.654669858058964,DEG
Hmcn1,171.6380020689089,4.092869910126585,0.39408479679230257,10.385759469639426,2.8786896871098595e-25,2.4300474470564156e-23,Hmcn1,24.540805148056727,DEG
Zfp503,187.16634377538313,4.060137493237126,0.390985443109242,10.384369967714415,2.920914385422306e-25,2.4592219493351757e-23,Zfp503,24.53448117239433,DEG
Hydin,21.474551790953058,4.05842866096028,0.5567138751430801,7.289972178108961,3.1001903876544207e-13,8.961102598424078e-12,Hydin,12.508611634627405,DEG
Cdx2,1939.4742573375177,4.013445216609814,0.3758982973046071,10.676944389980942,1.3049647258899074e-26,1.2196138186989652e-24,Cdx2,25.88440122745092,DEG
Hoxa2,113.52619978434188,3.9887706686425477,0.42790963378734787,9.32152574677669,1.1467915602184663e-20,6.523914364239921e-19,Hoxa2,19.940515511892308,DEG
Hotairm1,52.492824405869435,3.9790518682218683,0.4822473708680543,8.251059743590723,1.5699603559597407e-16,6.237414357539242e-15,Hotairm1,15.80411131409096,DEG
Kcnf1,24.223902459344746,3.973556750501257,0.7145999267789135,5.560533386019525,2.689513943087565e-08,4.062004263486579e-07,Kcnf1,7.570326199889184,DEG
Spo11,14.432245976836082,3.9205658861352304,0.5556837319416094,7.055390792954146,1.7211631278017412e-12,4.5772910742277606e-11,Spo11,11.764177966310005,DEG
Dkk1,397.742343798628,3.918611824409575,0.4472612441761126,8.761348932943966,1.9292759140723125e-18,9.124080416274756e-17,Dkk1,17.714605657586745,DEG
Wnt3a,246.7805241666453,3.9142273611948317,0.5797953902774197,6.75104946819594,1.4677953950717706e-11,3.46454435614866e-10,Wnt3a,10.833334479150395,DEG
Cited1,185.24068129852805,3.8859747112302423,0.2237167664739239,17.370064713871972,1.390690203194809e-67,9.098127091000973e-65,Cited1,66.85676960475104,DEG
Gm15610,17.746329332307777,3.871002243010937,0.8892911559349929,4.352907613188843,1.3434377417352495e-05,0.0001323643616373839,Gm15610,4.871782455056892,DEG
Nfam1,50.19934325105695,3.8693914710143105,0.4045674795742768,9.564267189953185,1.129991432674681e-21,7.062986259041283e-20,Nfam1,20.946924849221197,DEG
Inka1,169.7993006082599,3.8589968402319483,0.29679463764757735,13.002245831726361,1.1880242742382409e-38,2.367183595770237e-36,Inka1,37.92517468556693,DEG
Ascl4,48.55087249644009,3.8305206419835285,0.27706949031207295,13.825126099842608,1.797971239924137e-43,4.524087505175779e-41,Ascl4,42.74521725945604,DEG
Tbx1,33.099810104405506,3.8213635133176025,0.9874550868587227,3.869911213353578,0.0001088749965688831,0.0009058224333019009,Tbx1,3.963071845670757,DEG
Grsf1,6679.505735231256,3.811496796281234,0.3014019635768827,12.645892385863583,1.1787848432184445e-36,2.047382365082018e-34,Grsf1,35.92856545693215,DEG
Hand1,10.04625584495806,3.8109094108146535,0.7045573898348995,5.408941082439958,6.339848039515027e-08,9.089045109389458e-07,Hand1,7.197921151643664,DEG
Gm6977,20.329049224747063,3.790767842668001,0.7642018655410957,4.960427360359732,7.033826069618946e-07,8.53473801269714e-06,Gm6977,6.152808374992441,DEG
Zfp663,20.053587436144724,3.7873783229485616,1.1239008532298802,3.369850918846041,0.0007520886100685216,0.005176528985925621,Zfp663,3.1237309884020927,DEG
Ccdc141,17.05819737356482,3.7856211998267875,0.9177517914717663,4.124885655364311,3.709189877334106e-05,0.0003377333107283592,Ccdc141,4.430720934110665,DEG
Stra6l,124.85498559139104,3.7187342625118576,0.3375179372251767,11.017886317641501,3.1333016695277354e-28,3.333102721787864e-26,Stra6l,27.50399778989194,DEG
Tnfsf9,121.0638217644902,3.7096441742613875,0.26295953753400975,14.10728132947679,3.425304521345528e-45,9.272653681129381e-43,Tnfsf9,44.465300812182946,DEG
Kif26b,412.6255285552231,3.6994690193063917,0.5622561853074329,6.579685765988646,4.7144355627746635e-11,1.0495913591890346e-09,Kif26b,10.326570295852635,DEG
Nlrp4c,24.517811505968766,3.6960606856700906,0.4957428572561777,7.455600482328546,8.945944444752597e-14,2.7242448199369564e-12,Nlrp4c,13.048373803168985,DEG
Maats1,19.563148066753627,3.6907922998018243,0.5948898858895671,6.2041604460677755,5.498966274636204e-10,1.0675119840667405e-08,Maats1,9.259718943854093,DEG
Gm30414,13.27193425395661,3.674665195381916,0.8258890612043762,4.44934479459412,8.613264633267194e-06,8.797722525361363e-05,Gm30414,5.064832209349242,DEG
Slc38a4,2891.662324398669,3.6665102869302557,0.14642432596578112,25.04030845111834,2.2263253671795516e-138,8.738994963789894e-135,Slc38a4,137.65241136522835,DEG
Tle2,31.02485177971313,3.6623689867316167,1.4422048949585782,2.539423489362657,0.011103532866072277,0.05577770355668481,Tle2,1.9545388175983867,DEG
Skap1,30.53642813376185,3.6511388754325056,0.4237312450969972,8.616638300054356,6.8948504042492625e-18,3.0860155406841083e-16,Skap1,17.161475152158744,DEG
Gm30228,31.75046749894387,3.634199191396836,0.4742228008836004,7.663484726220202,1.8095479826860237e-14,5.984009011320513e-13,Gm30228,13.742429896479804,DEG
Dcc,14.322695280588999,3.6198864398582704,0.7202709610234714,5.025728698980979,5.015244864015383e-07,6.245666454543015e-06,Dcc,6.299707858158097,DEG
Klhl4,67.00257563248867,3.6018874934679403,0.9030202531714905,3.9887117490640756,6.643308705656257e-05,0.0005769243288122235,Klhl4,4.177615566006743,DEG
Pcdh11x,62.008553675494205,3.5887557995065893,0.3557281525719813,10.088478445012607,6.2124989577636386e-24,4.644937554078021e-22,Pcdh11x,23.20673367111777,DEG
Fgf3,143.28027266978074,3.566069428807187,0.3584155427897226,9.949539021245377,2.5335405356954124e-23,1.8147639899206572e-21,Fgf3,22.5962721427694,DEG
9330159F19Rik,19.302971182189708,3.5608429341741354,0.5902881519273506,6.032380833915813,1.6156147630241832e-09,2.9184411547624605e-08,9330159F19Rik,8.791662187025542,DEG
Lhx9,24.997556788043365,3.5558745774274056,0.5798960064314831,6.131917685223006,8.682602824696729e-10,1.6385490801818304e-08,Lhx9,9.061350064805687,DEG
S1pr1,25.359738479128858,3.550636704060008,0.5484614913520054,6.473812218442865,9.556065164224162e-11,2.0514524120860603e-09,S1pr1,10.019720897393645,DEG
Zfp536,21.457974282599945,3.543620776277031,0.5959050723479907,5.946619588778499,2.7373656616874e-09,4.792587614550201e-08,Zfp536,8.562667184962582,DEG
Islr,150.38532314584305,3.494025119250172,1.4370330824765982,2.431415923444526,0.015039938463939846,0.0724816089042395,Islr,1.8227539406610012,DEG
Tmem215,18.037273629943826,3.4919276448769745,0.5704077748365058,6.121809342233903,9.251868929298834e-10,1.7417918996727443e-08,Tmem215,9.033770528483073,DEG
Pex5l,33.09743647789934,3.4587246135970156,0.4278090592482435,8.084739064840681,6.229743217537587e-16,2.3355884481184617e-14,Pex5l,15.20552985406391,DEG
Tril,97.06162644413449,3.45654098882259,0.3644269139744882,9.484867489958674,2.426912279420067e-21,1.4723892999084372e-19,Tril,20.614945920929006,DEG
Msx1,337.8522021511689,3.455921176578381,0.2720391671860172,12.703763257057991,5.635327187594686e-37,9.919439376441892e-35,Msx1,36.249080863709835,DEG
Apcdd1,86.99899010844042,3.4315993883466898,0.309348504425095,11.092988455606418,1.356779567076593e-28,1.4793796762904862e-26,Apcdd1,27.867490705456394,DEG
Nav3,17.38987201852722,3.4304724831844675,0.9006635707073705,3.8088278406666487,0.0001396271288203019,0.0011298255385659265,Nav3,3.8550301923697123,DEG
Gm43519,17.196590829314843,3.421355151057407,0.8535964128068715,4.008164865415734,6.119239762287506e-05,0.0005345160662207829,Gm43519,4.213302530068843,DEG
Kcnc2,14.29533614344004,3.420717518908513,1.4999412118351323,2.2805677261999953,0.02257403889235251,0.10275991518514589,Kcnc2,1.646390731053586,DEG
Arg1,2876.555663044253,3.413590906243094,0.4951295948193389,6.894338253985065,5.411611916674698e-12,1.3530063857658085e-10,Arg1,11.266673355550006,DEG
Lgr6,23.937567370301775,3.388229590433644,0.48544823662376735,6.9795898611113785,2.9604302676236293e-12,7.645116400988838e-11,Lgr6,11.52864516418608,DEG
Emx2,31.344926767613302,3.370608050478765,0.7862044607906041,4.287190188528433,1.8094736339134052e-05,0.0001744713057037654,Emx2,4.742447740673683,DEG
Kremen2,20.044843539810465,3.3441065645121593,0.412121248455185,8.114375507323071,4.882893216596481e-16,1.8482951536264383e-14,Kremen2,15.311322773145733,DEG
Olfml3,109.80110142292591,3.3391628542909433,0.4083606468694088,8.176994722409642,2.9101075207870655e-16,1.12764511859284e-14,Olfml3,15.536090964683556,DEG
